domain,policy_id,stats_path,frames_sampled,frames_accepted,frames_rejected,keep_rate,boxes_before_filters,boxes_accepted,mean_confidence,median_confidence,empty_count,tweezers_count,needle_driver_count,empty_pct,tweezers_pct,needle_driver_pct,box_conf_threshold,frame_conf_threshold,stride,max_detections_per_frame,temporal_min_hits,rejection_reasons
ID,sup1280_id_p1,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_id\sup1280_p1\pseudo_stats.json,720,689,31,0.956944,1648,1636,0.8552744183461649,0.8856907784938812,422,653,561,25.795,39.914,34.291,0.5,0.7,15,300,1,"{""frame_conf_threshold"": 12}"
ID,sup_ref640_id_p1,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_id\sup_ref640_p1\pseudo_stats.json,720,702,18,0.975,1701,1690,0.8758494164111347,0.9017695188522339,470,651,569,27.811,38.521,33.669,0.5,0.7,15,300,1,"{""frame_conf_threshold"": 11}"
ID,sup_ref640_id_p2,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_id\sup_ref640_p2\pseudo_stats.json,720,691,29,0.959722,1582,1569,0.8941737432020952,0.9038177132606506,393,639,537,25.048,40.727,34.226,0.7,0.8,15,300,1,"{""frame_conf_threshold"": 13}"
ID,sup_ref640_id_p3,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_id\sup_ref640_p3\pseudo_stats.json,720,574,146,0.797222,1477,1282,0.9067138854222438,0.9086766839027405,323,525,434,25.195,40.952,33.853,0.8,0.9,15,300,1,"{""frame_conf_threshold"": 195}"
ID,sup_ref640_id_p3_sanity_temporal,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_id\sup_ref640_p3_sanity_temporal\pseudo_stats.json,720,566,154,0.786111,1477,1020,0.9124257782510683,0.9121053814888,249,471,300,24.412,46.176,29.412,0.8,0.9,15,2,2,"{""frame_conf_threshold"": 167, ""max_detections_per_frame"": 207, ""min_box_height"": 1, ""temporal_min_hits"": 82}"
ID,sup_ref640_id_p4,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_id\sup_ref640_p4\pseudo_stats.json,720,69,651,0.095833,888,168,0.9377461089974358,0.9376705586910248,97,52,19,57.738,30.952,11.31,0.9,0.95,15,300,1,"{""frame_conf_threshold"": 720}"
OOD,ssl_id_temporal_ood_conf,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_conf\pseudo_stats.json,380,0,380,0.0,194,0,,,0,0,0,0,0,0,0.85,0.92,15,2,1,"{""frame_conf_threshold"": 194}"
OOD,ssl_id_temporal_ood_conf_sanity,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_conf_sanity\pseudo_stats.json,380,0,380,0.0,194,0,,,0,0,0,0,0,0,0.85,0.92,15,2,1,"{""frame_conf_threshold"": 178, ""max_box_area"": 16}"
OOD,ssl_id_temporal_ood_conf_temporal,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_conf_temporal\pseudo_stats.json,380,0,380,0.0,194,0,,,0,0,0,0,0,0,0.85,0.92,15,2,2,"{""frame_conf_threshold"": 178, ""temporal_min_hits"": 16}"
OOD,ssl_id_temporal_ood_conservative,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_conservative\pseudo_stats.json,380,0,380,0.0,194,0,,,0,0,0,0,0,0,0.85,0.92,15,2,2,"{""class_or_box_conf_threshold"": 188, ""temporal_min_hits"": 6}"
OOD,ssl_id_temporal_ood_relaxed_combined,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_relaxed_combined\pseudo_stats.json,380,123,257,0.323684,333,129,0.8908557439035223,0.8963989615440369,0,9,120,0,6.977,93.023,0.75,0.85,15,2,2,"{""class_cap_2"": 43, ""class_or_box_conf_threshold"": 102, ""frame_conf_threshold"": 22, ""max_box_area"": 16, ""temporal_min_hits"": 21}"
OOD,ssl_id_temporal_ood_relaxed_conf,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_relaxed_conf\pseudo_stats.json,380,193,187,0.507895,333,235,0.8670730981420963,0.8779934048652649,1,19,215,0.426,8.085,91.489,0.75,0.85,15,2,1,"{""frame_conf_threshold"": 98}"
OOD,ssl_id_temporal_ood_relaxed_sanity,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_relaxed_sanity\pseudo_stats.json,380,177,203,0.465789,333,219,0.8664547822791148,0.8785232901573181,1,19,199,0.457,8.676,90.868,0.75,0.85,15,2,1,"{""frame_conf_threshold"": 84, ""max_box_area"": 30}"
OOD,ssl_id_temporal_ood_relaxed_temporal,C:\Users\User\OneDrive - Technion\Python\cv_or_hw\hw1_repo\datasets\pseudo_ood\ssl_id_temporal_relaxed_temporal\pseudo_stats.json,380,189,191,0.497368,333,219,0.8713085833749815,0.879766047000885,0,15,204,0,6.849,93.151,0.75,0.85,15,2,2,"{""frame_conf_threshold"": 81, ""temporal_min_hits"": 33}"
